ano,!,(,),",",.,:,;,?,reticencias,palavras_num,palavras_unic,pont_total,pont_frases,palavras_por_pont,palavras_por_frase
1.0,-0.5344614392772061,0.1497303917986546,0.14982269051472993,0.06704557072954391,-0.023695297605456203,-0.19210845833867896,-0.44843232410645567,-0.16687913598500745,-0.3429454917445433,0.10242872337777344,0.06603394314390969,-0.02014765983795343,-0.14875016883849923,0.41344708601939534,0.2781358888333132
-0.5344614392772061,1.0,-0.021801875185746843,-0.023968641170750895,0.5057446893775658,0.6657734948585615,0.6330002842387189,0.7277262236885601,0.3642474777773091,0.894818707833787,0.4470034945157895,0.4992680716702869,0.6226595863593738,0.7725410384627917,-0.3746650094087955,-0.2737224968040982
0.1497303917986546,-0.021801875185746843,1.0,0.999888440313573,0.21171759045366306,0.28089943748799967,0.5384913501483549,-0.02532604274374079,0.6393477889694499,0.02088635788160639,0.180369694955573,0.20201680851308432,0.277178335317667,0.2819637581600418,-0.24816470798142268,-0.15156655244015269
0.14982269051472993,-0.023968641170750895,0.999888440313573,1.0,0.20800627353596474,0.27742309685577954,0.5335260202295624,-0.026742909488475065,0.6332767175697213,0.019664310388059908,0.17720769248251314,0.19876042552569625,0.2732272148747263,0.2782707033806984,-0.24767215881666846,-0.1519983547265029
0.06704557072954391,0.5057446893775658,0.21171759045366306,0.20800627353596474,1.0,0.8750443338489333,0.7479879643650836,0.6677933438434401,0.5619218791846152,0.4410132947494991,0.9715945486065443,0.979728591557164,0.9743473964733932,0.8270023995334089,-0.025204226481035968,0.13091278412006327
-0.023695297605456203,0.6657734948585615,0.28089943748799967,0.27742309685577954,0.8750443338489333,1.0,0.7960956433281399,0.6289883395331307,0.6992804189173769,0.6511551679938884,0.8723206676554663,0.9045755041649566,0.95531035401453,0.9828057011213116,-0.27253006032042504,-0.2637552792452988
-0.19210845833867896,0.6330002842387189,0.5384913501483549,0.5335260202295624,0.7479879643650836,0.7960956433281399,1.0,0.6952480687668608,0.7125020610988354,0.5210033224999595,0.7384820977407808,0.7656940341359346,0.8267825575881182,0.8138592978829735,-0.2599981583103722,-0.19176449859476866
-0.44843232410645567,0.7277262236885601,-0.02532604274374079,-0.026742909488475065,0.6677933438434401,0.6289883395331307,0.6952480687668608,1.0,0.33643277828492785,0.48246316945659484,0.6840198346232258,0.7012313497164114,0.7021994947786299,0.6528303093293727,-0.10649130892730985,-0.09846999142994146
-0.16687913598500745,0.3642474777773091,0.6393477889694499,0.6332767175697213,0.5619218791846152,0.6992804189173769,0.7125020610988354,0.33643277828492785,1.0,0.31633581246384085,0.5202910670192257,0.5631886829261158,0.6674210940494589,0.7174062598386192,-0.4066411565769246,-0.2857657927730473
-0.3429454917445433,0.894818707833787,0.02088635788160639,0.019664310388059908,0.4410132947494991,0.6511551679938884,0.5210033224999595,0.48246316945659484,0.31633581246384085,1.0,0.348964311315669,0.409220692264288,0.5614824886174747,0.7580270861126063,-0.43166528908381274,-0.27662600310295965
0.10242872337777344,0.4470034945157895,0.180369694955573,0.17720769248251314,0.9715945486065443,0.8723206676554663,0.7384820977407808,0.6840198346232258,0.5202910670192257,0.348964311315669,1.0,0.9965439904234331,0.9510255141069324,0.8002630223269759,0.07028060385082488,0.08056158364701521
0.06603394314390969,0.4992680716702869,0.20201680851308432,0.19876042552569625,0.979728591557164,0.9045755041649566,0.7656940341359346,0.7012313497164114,0.5631886829261158,0.409220692264288,0.9965439904234331,1.0,0.972551956814082,0.8435189881374686,0.0071427769952798715,0.040252543651768835
-0.02014765983795343,0.6226595863593738,0.277178335317667,0.2732272148747263,0.9743473964733932,0.95531035401453,0.8267825575881182,0.7021994947786299,0.6674210940494589,0.5614824886174747,0.9510255141069324,0.972551956814082,1.0,0.9288500308109046,-0.15550740819964134,-0.043973917671210776
-0.14875016883849923,0.7725410384627917,0.2819637581600418,0.2782707033806984,0.8270023995334089,0.9828057011213116,0.8138592978829735,0.6528303093293727,0.7174062598386192,0.7580270861126063,0.8002630223269759,0.8435189881374686,0.9288500308109046,1.0,-0.3520842289441635,-0.2976476013416991
0.41344708601939534,-0.3746650094087955,-0.24816470798142268,-0.24767215881666846,-0.025204226481035968,-0.27253006032042504,-0.2599981583103722,-0.10649130892730985,-0.4066411565769246,-0.43166528908381274,0.07028060385082488,0.0071427769952798715,-0.15550740819964134,-0.3520842289441635,1.0,0.7138843112634173
0.2781358888333132,-0.2737224968040982,-0.15156655244015269,-0.1519983547265029,0.13091278412006327,-0.2637552792452988,-0.19176449859476866,-0.09846999142994146,-0.2857657927730473,-0.27662600310295965,0.08056158364701521,0.040252543651768835,-0.043973917671210776,-0.2976476013416991,0.7138843112634173,1.0
